札番号,単語数,総文字数,統一分母,単語リスト
25,52,148,262,なにし/名にし/にし負/し負は/負はば/逢坂山/坂山の/さねか/ねかづ/かづら/にしお/しおは/おはば/あふさ/ふさか/さかや/かやま/やまの/名にし負/にし負は/し負はば/逢坂山の/さねかづ/ねかづら/なにしお/にしおは/しおはば/あふさか/ふさかや/さかやま/かやまの/名に/にし/し負/負は/はば/逢坂/坂山/山の/さね/ねか/かづ/づら/なに/しお/おは/あふ/ふさ/さか/かや/やま/まの
26,49,138,262,をぐ/小倉山/峰のも/のもみ/もみぢ/みぢ葉/心あら/あらば/をぐら/ぐらや/らやま/みねの/ねのも/みぢば/こころ/ころあ/ろあら/峰のもみ/のもみぢ/もみぢ葉/心あらば/をぐらや/ぐらやま/みねのも/ねのもみ/もみぢば/こころあ/ころあら/ろあらば/小倉/倉山/峰の/のも/もみ/みぢ/ぢ葉/心あ/あら/らば/ぐら/らや/やま/みね/ねの/ぢば/ここ/ころ/ろあ/おぐ
27,45,129,262,みかの/かの原/わきて/きて流/て流る/流るる/かのは/のはら/きてな/てなが/ながる/がるる/いづみ/づみが/みがは/みかの原/わきて流/きて流る/て流るる/みかのは/かのはら/わきてな/きてなが/てながる/ながるる/いづみが/づみがは/みか/かの/の原/わき/きて/て流/流る/るる/泉川/のは/はら/てな/なが/がる/いづ/づみ/みが/がは
28,44,123,262,やまざ/山里は/冬ぞ寂/ぞ寂し/寂しさ/まさり/さりけ/りける/まざと/ざとは/ふゆぞ/ゆぞさ/ぞさび/さびし/びしさ/冬ぞ寂し/ぞ寂しさ/まさりけ/さりける/やまざと/まざとは/ふゆぞさ/ゆぞさび/ぞさびし/さびしさ/山里/里は/冬ぞ/ぞ寂/寂し/しさ/まさ/さり/りけ/ける/やま/まざ/ざと/とは/ふゆ/ゆぞ/ぞさ/さび/びし
29,51,148,262,こころあ/心あて/あてに/折らば/らばや/ばや折/や折ら/折らむ/初霜の/こころ/ころあ/ろあて/をらば/ばやを/やをら/をらむ/はつし/つしも/しもの/心あてに/折らばや/らばや折/ばや折ら/や折らむ/ころあて/ろあてに/をらばや/らばやを/ばやをら/やをらむ/はつしも/つしもの/心あ/あて/てに/折ら/らば/ばや/や折/らむ/初霜/霜の/ここ/ころ/ろあ/をら/やを/はつ/つし/しも/もの
30,47,134,262,ありあ/有明の/つれな/れなく/なく見/く見え/見えし/別れよ/れより/りあけ/あけの/なくみ/くみえ/みえし/わかれ/かれよ/つれなく/れなく見/なく見え/く見えし/別れより/ありあけ/りあけの/れなくみ/なくみえ/くみえし/わかれよ/かれより/有明/明の/つれ/れな/なく/く見/見え/えし/別れ/れよ/より/あり/りあ/あけ/けの/くみ/みえ/わか/かれ
31,52,152,262,あさぼらけ　あ/朝ぼら/ぼらけ/有明の/明の月/の月と/見るま/るまで/までに/あさぼ/さぼら/ありあ/りあけ/あけの/けのつ/のつき/つきと/みるま/朝ぼらけ/有明の月/明の月と/見るまで/るまでに/あさぼら/さぼらけ/ありあけ/りあけの/あけのつ/けのつき/のつきと/みるまで/朝ぼ/ぼら/らけ/有明/明の/の月/月と/見る/るま/まで/でに/あさ/さぼ/あり/りあ/あけ/けの/のつ/つき/きと/みる
32,39,109,262,やまが/山川に/風のか/のかけ/かけた/けたる/しがら/がらみ/らみは/まがは/がはに/かぜの/ぜのか/風のかけ/のかけた/かけたる/しがらみ/がらみは/やまがは/まがはに/かぜのか/ぜのかけ/山川/川に/風の/のか/かけ/けた/たる/しが/がら/らみ/みは/やま/まが/がは/はに/かぜ/ぜの
33,42,118,262,ひさ/ひさか/さかた/かたの/光のど/のどけ/どけき/春の日/の日に/ひかり/かりの/りのど/はるの/るのひ/のひに/ひさかた/さかたの/光のどけ/のどけき/春の日に/ひかりの/かりのど/りのどけ/はるのひ/るのひに/さか/かた/たの/光の/のど/どけ/けき/春の/の日/日に/ひか/かり/りの/はる/るの/のひ/ひに
34,48,136,262,たれ/誰をか/をかも/知る人/る人に/人にせ/にせむ/高砂の/たれを/れをか/しるひ/るひと/ひとに/とにせ/たかさ/かさご/さごの/誰をかも/知る人に/る人にせ/人にせむ/たれをか/れをかも/しるひと/るひとに/ひとにせ/とにせむ/たかさご/かさごの/誰を/をか/かも/知る/る人/人に/にせ/せむ/高砂/砂の/れを/しる/るひ/ひと/とに/たか/かさ/さご/ごの
