札番号,単語数,総文字数,単語リスト
61,22,52,いに/いにし/への/しへの/しへ/奈良/奈良の/都の/の都の/なら/のみ/やこ/やこの/らのみ/この/八重/八重桜/重桜/やへ/ざく/ざくら/くら
62,23,54,よを/よお/夜を/夜をこ/めて/こめて/こめ/鳥の/鳥の空/音は/空音は/とり/のそ/らね/らねは/りのそ/ねは/謀る/謀ると/とも/るとも/はか/ると
63,20,48,いまは/今は/今はた/ただ/はただ/いま/はた/思ひ/思ひ絶/なむ/えなむ/おも/ひた/えな/もひた/とば/とばか/りを/かりを/かり
64,22,56,あさぼらけう/朝ぼ/朝ぼら/らけ/ぼらけ/あさ/ぼら/宇治/宇治の/川霧/の川霧/うぢ/のか/はぎ/はぎり/ぢのか/ぎり/たえ/たえだ/えに/だえに/だえ
65,19,46,うら/恨み/恨みわ/わび/みわび/みわ/ほさ/ほさぬ/だに/袖だに/ぬそ/でだ/でだに/さぬそ/ある/あるも/のを/ものを/もの
66,19,45,もろ/もろと/もに/ともに/とも/あは/あはれ/思へ/と思へ/れと/おも/おもへ/はれと/もへ/山桜/やま/ざく/ざくら/くら
67,24,57,はるの/春の/春の夜/夜の/の夜の/はる/のよ/のよの/よの/夢ば/夢ばか/なる/りなる/ゆめ/ばか/りな/めばか/手枕/手枕に/枕に/たま/くら/くらに/らに
68,22,54,こころに/心に/心にも/にも/ここ/ろに/ろにも/あら/あらで/夜に/き夜に/でう/きよ/きよに/らでう/よに/長ら/長らへ/へば/らへば/なが/らへ
69,25,60,あらし/嵐吹/嵐吹く/吹く/あら/しふ/しふく/ふく/三室/三室の/山の/の山の/みむ/ろの/やま/やまの/むろの/まの/もみ/もみぢ/葉は/ぢ葉は/ぢば/ぢばは/ばは
70,21,49,さ/寂し/寂しさ/さに/しさに/さび/しさ/宿を/宿を立/でて/出でて/やど/をた/ちい/いでて/どをた/なが/ながむ/れば/むれば/むれ
71,23,54,ゆふ/ゆう/夕さ/夕され/れば/されば/され/門田/門田の/稲葉/の稲葉/かど/たの/いな/いなば/どたの/なば/訪れ/訪れて/れて/おと/づれ/づれて
72,25,60,おと/音に/音に聞/聞く/に聞く/にき/にきく/きく/高師/高師の/浜の/の浜の/たか/しの/はま/はまの/かしの/まの/あだ/あだ波/波は/だ波は/なみ/なみは/みは
73,23,54,たか/高砂/高砂の/砂の/さご/さごの/ごの/尾の/尾の上/の桜/上の桜/をの/への/さく/さくら/のへの/くら/咲き/咲きに/けり/にけり/さき/にけ
74,22,52,うか/憂か/憂かり/ける/りける/りけ/人を/人を初/瀬の/初瀬の/ひと/をは/つせ/つせの/とをは/せの/山お/山おろ/しよ/ろしよ/やま/おろ
75,22,54,ちぎりお/契り/契りお/きし/おきし/ちぎ/りお/させ/させも/露を/が露を/もが/つゆ/つゆを/せもが/ゆを/命に/命にて/にて/いの/ちに/ちにて
76,22,57,わたのはらこ/わた/わたの/の原/たの原/のは/のはら/はら/漕ぎ/漕ぎ出/れば/見れば/こぎ/いで/てみ/みれば/ぎいで/ひさ/ひさか/たの/かたの/かた
77,22,50,せ/瀬を/瀬をは/やみ/はやみ/せを/はや/岩に/岩にせ/るる/かるる/いは/にせ/かる/はにせ/滝川/滝川の/川の/たき/がは/がはの/はの
78,27,65,あはぢ/あわじ/淡路/淡路島/路島/あは/ぢし/ぢしま/しま/通ふ/通ふ千/鳥の/千鳥の/かよ/ふち/どり/どりの/よふち/りの/鳴く/鳴く声/声に/く声に/なく/こゑ/こゑに/ゑに
79,24,58,あきか/秋風/秋風に/風に/あき/かぜ/かぜに/ぜに/たな/たなび/雲の/く雲の/びく/くも/くもの/なびく/もの/絶え/絶え間/より/間より/たえ/まよ/まより
80,23,55,ながか/長か/長から/らむ/からむ/なが/から/心も/心も知/らず/知らず/ここ/ろも/しら/しらず/ころも/黒髪/黒髪の/髪の/くろ/かみ/かみの/みの
81,21,49,ほ/ほと/ほとと/ぎす/とぎす/とぎ/鳴き/鳴きつ/方を/る方を/なき/つる/かた/かたを/きつる/たを/なが/ながむ/れば/むれば/むれ
82,22,54,おもひ/おもい/思ひ/思ひわ/わび/ひわび/おも/ひわ/さて/さても/命は/も命は/もい/のち/のちは/てもい/ちは/ある/あるも/のを/ものを/もの
83,25,62,よのなかよ/世の/世の中/中よ/の中よ/よの/なか/なかよ/かよ/道こ/道こそ/けれ/なけれ/みち/こそ/なけ/ちこそ/思ひ/思ひ入/入る/ひ入る/おも/ひい/ひいる/いる
84,19,46,ながら/長ら/長らへ/へば/らへば/なが/らへ/また/またこ/ろや/ごろや/この/ごろ/たこの/しの/しのば/れむ/ばれむ/ばれ
85,20,47,よも/夜も/夜もす/がら/すがら/すが/物思/物思ふ/ろは/ころは/もの/おも/ふこ/のおも/明け/明けや/らで/やらで/あけ/やら
86,23,55,なげけ/嘆け/嘆けと/とて/けとて/なげ/けと/月や/月やは/物を/は物を/つき/やは/もの/ものを/きやは/のを/思は/思はす/する/はする/おも/はす
87,26,60,む/村雨/村雨の/雨の/むら/さめ/さめの/めの/露も/露もま/干ぬ/だ干ぬ/つゆ/もま/だひ/だひぬ/ゆもま/ひぬ/真木/真木の/葉に/の葉に/まき/のは/のはに/はに
88,22,54,なにはえ/難波/難波江/江の/波江の/なに/はえ/はえの/えの/蘆の/蘆のか/ねの/りねの/あし/のか/りね/しのか/ひと/ひとよ/ゆゑ/よゆゑ/よゆ
89,21,51,たま/玉の/玉の緒/緒よ/の緒よ/のを/のをよ/をよ/絶え/絶えな/えね/絶えね/たえ/なば/たえね/えなば/なが/ながら/へば/らへば/らへ
90,21,50,みせ/見せ/見せば/やな/ばやな/ばや/雄島/雄島の/人の/海人の/をじ/まの/あま/あまの/じまの/袖だ/袖だに/にも/だにも/そで/だに
91,20,48,きり/きりぎ/りす/ぎりす/ぎり/鳴く/鳴くや/夜の/霜夜の/なく/やし/もよ/もよの/くやし/よの/さむ/さむし/ろに/しろに/しろ
92,25,61,わがそ/わが/わが袖/袖は/が袖は/そで/そでは/では/潮干/潮干に/えぬ/見えぬ/しほ/ひに/みえ/みえぬ/ほひに/沖の/沖の石/石の/の石の/おき/のい/いしの/しの
93,24,59,よのなかは/世の/世の中/中は/の中は/よの/なか/なかは/かは/常に/常にも/もな/がもな/つね/にも/がも/ねにも/渚漕/渚漕ぐ/漕ぐ/なぎ/さこ/さこぐ/こぐ
94,24,58,みよ/み吉/み吉野/野の/吉野の/しの/しのの/のの/山の/山の秋/秋風/の秋風/やま/のあ/きか/きかぜ/まのあ/かぜ/さよ/さよ更/けて/更けて/ふけ/ふけて
95,20,49,おほけ/おおけ/おほ/なく/けなく/けな/憂き/憂き世/民に/の民に/うき/よの/たみ/たみに/きよの/みに/おほふ/かな/ふかな/ふか
96,23,55,はなさ/花さ/花さそ/そふ/さそふ/はな/さそ/嵐の/嵐の庭/庭の/の庭の/あら/しの/には/にはの/らしの/はの/雪な/雪なら/らで/ならで/ゆき/なら
97,24,57,こぬ/来ぬ/来ぬ人/人を/ぬ人を/ひと/ひとを/とを/松帆/松帆の/浦の/の浦の/まつ/ほの/うら/うらの/つほの/らの/夕な/夕なぎ/ぎに/なぎに/ゆふ/なぎ
98,24,57,かぜそ/風そ/風そよ/よぐ/そよぐ/かぜ/そよ/楢の/楢の小/川の/小川の/なら/のを/がは/がはの/らのを/はの/夕暮/夕暮は/暮は/ゆふ/ぐれ/ぐれは/れは
99,21,52,ひとも/人も/人も惜/惜し/も惜し/ひと/もを/もをし/をし/人も恨/めし/恨めし/もう/らめ/らめし/ともう/あぢ/あぢき/なく/きなく/きな
100,22,52,もも/百敷/百敷や/敷や/しき/しきや/きや/古き/古き軒/端の/軒端の/ふる/きの/きば/きばの/るきの/ばの/しの/しのぶ/にも/ぶにも/ぶに
0,25,60,なにわづ/難波/難波津/の花/この花/なに/わづ/わづに/づに/冬ご/冬ごも/さく/やこ/のは/のはな/くやこ/はな/ふゆ/ごも/ごもり/もり/いま/はは/るべと/べと
