札番号,単語数,総文字数(現在の満点),登録単語リスト
40,20,98,わが恋は/恋は/色に/わがこひは/しの/しのぶれど　いろにいでにけり　わがこひは/しのぶれど/わがこ/しのぶれど　色に出でにけり　わが恋は/いろにいでにけり/しのぶ/色に出/ひは/わが恋/わが/いろ/けり/色に出でにけり/れど/いろに
41,23,106,たちにけり/こひ/立ちにけり/わがなはまだき/たちに/こい/恋すてふ/立ち/てふ/恋すてふ　わが名はまだき　立ちにけり/立ちに/恋す/恋すて/わがな/こひすてふ/こひすてふ　わがなはまだき　たちにけり/わが名はまだき/わが/わが名/こひす/けり/たち/だき
42,20,95,契りき/ちぎり/しぼりつつ/契り/契りきな/しぼり/契りきな　かたみに袖を　しぼりつつ/袖を/でを/つつ/かた/ちぎりきな/かたみに袖を/ちぎりき/きな/ちぎ/しぼ/かたみにそでを/ちぎりきな　かたみにそでを　しぼりつつ/かたみ
43,20,93,くらぶ/あひみての/逢ひ見/逢ひ/れば/ての/あい/心に/あひみ/くらぶれば/あひ/のち/のちの心に/くら/ろに/逢ひ見ての/あひみての　のちのこころに　くらぶれば/のちの/逢ひ見ての　のちの心に　くらぶれば/のちのこころに
44,23,105,との/たえ/なかなかに/絶えて/あふことの　たえてしなくは　なかなかに/あふ/あふことの/おお/くは/たえて/なかな/おおこ/あふこ/たえてしなくは/逢ふことの　絶えてしなくは　なかなかに/逢ふ/かに/絶え/逢ふこ/なか/おこ/逢ふことの/絶えてしなくは
45,22,98,いふべき人は/おもほ/いふ/思ほえ/あわ/おも/われ/あわれ/あはれとも　いふべき人は　思ほえで/あはれ/思ほえで/とは/あはれとも　いふべきひとは　おもほえで/とも/いふべきひとは/えで/おもほえで/あはれとも/あは/人は/いふべ/思ほ
46,24,103,ゆらのとを/たえ/由良の門を/ゆら/ゆらの/由良/わた/かぢをたえ/渡る/門を/由良の門を　渡る舟人　かぢを絶え/渡る舟人/舟人/渡る舟/びと/かぢ/わたるふなびと/ゆらのとを　わたるふなびと　かぢをたえ/とを/わたる/由良の/かぢを/かぢを絶え/絶え
47,20,95,宿の/どの/やえ/さびし/八重/しげれる宿の/八重むぐら/やへむぐら　しげれるやどの　さびしきに/八重む/さびしきに/ぐら/きに/やへ/しげれ/やへむぐら/やへむ/八重むぐら　しげれる宿の　さびしきに/さび/しげれるやどの/しげ
48,21,98,かぜを/いはうつなみの/たみ/かぜをいたみ/のみ/みの/風を/おのれ/風をいたみ　岩うつ波の　おのれのみ/岩う/おの/風をい/いはう/岩うつ波の/おのれのみ/いは/岩うつ/かぜ/かぜをいたみ　いはうつなみの　おのれのみ/風をいたみ/波の
49,25,105,燃え/ゑじの/夜は燃/垣守/もり/みか/よるはもえ/衛士のたく火の/よるは/衛士の/御垣/ゑじのたくひの/ゑじ/もえ/夜は燃え/衛士/夜は/御垣守/ひの/よる/御垣守　衛士のたく火の　夜は燃え/みかき/みかきもり　ゑじのたくひの　よるはもえ/火の/みかきもり
50,23,106,きみ/君がた/命さ/いのち/きみが/をしからざりし/きみがため/いのちさへ/きみがため　を/いの/惜しからざりし/をしか/君が/君がため　惜しからざりし　命さへ/惜し/りし/さへ/惜しか/ため/命さへ/君がため/をし/きみがため　をしからざりし　いのちさへ
51,18,88,きの/かくと/ぐさ/かくとだに/さしも草/かくとだに　えやはいぶきの　さしもぐさ/さし/えやは/えやはいぶきの/も草/吹の/えや/さしも/さしもぐさ/かく/かくとだに　えやは伊吹の　さしも草/えやは伊吹の/だに
52,23,108,あけぬれば　くるるものとは　しりながら/明けぬ/あけぬ/知りながら/しり/あけぬれば/明けぬれば/知りな/しりな/あけ/れば/くるる/暮るるものとは/とは/暮る/明け/知り/くる/しりながら/くるるものとは/明けぬれば　暮るるものとは　知りながら/がら/暮るる
53,23,105,なげ/よの/ひとり/明くる間は/まは/嘆き/あく/間は/嘆きつつ/嘆きつつ　ひとり寝る夜の　明くる間は/なげき/明くる/嘆きつ/あくるまは/ひとりねるよの/つつ/明く/なげきつつ　ひとりねるよの　あくるまは/夜の/なげきつつ/ひとり寝る夜の/ひと/あくる
54,19,92,わすれ/忘れじの/忘れじ/では/わすれじの/かたけ/ゆく末/わす/れば/ゆくすゑまでは/かた/わすれじの　ゆくすゑまでは　かたければ/ゆく/ゆく末までは/忘れ/忘れじの　ゆく末までは　かたければ/じの/かたければ/ゆくす
55,21,98,滝の音は　絶えて久しく　なりぬれど/たき/たえ/たきのおとは/音は/たえてひさしく/たきのおとは　たえてひさしく　なりぬれど/絶えて/なりぬ/たえて/滝の/なりぬれど/しく/とは/滝の音/たきの/なり/滝の音は/絶え/絶えて久しく/れど
56,20,96,かの/思ひ出に/この世/このよ/あら/おもひ/思ひ/おもひでに/おも/この/思ひ出/らむ/でに/あらざ/あらざらむ　このよのほかの　おもひでに/この世のほかの/あらざらむ　この世のほかの　思ひ出に/出に/あらざらむ/このよのほかの
57,20,104,めぐり逢ひて/見しやそれとも/めぐり/わかぬ/めぐり逢ひて　見しやそれとも　わかぬ間に/めぐ/見し/わかぬまに/みしや/みしやそれとも/間に/めぐりあひて/とも/ひて/見しや/わかぬ間に/まに/わか/みし/めぐりあひて　みしやそれとも　わかぬまに
58,24,99,けば/ゐなのささはら/ありまやま　ゐなのささはら　かぜふけば/ありま/笹原/猪名の/あり/有馬山　猪名の笹原　風吹けば/馬山/風吹け/有馬山/かぜふ/猪名の笹原/風吹/猪名/ゐな/ゐなの/ありまやま/はら/かぜ/有馬/かぜふけば/風吹けば/やま
59,20,98,やすらはで　寝なましものを　さ夜更けて/やすら/さよふけて/ねなましものを/のを/さ夜/ねな/寝なま/やす/はで/さよふ/さ夜更けて/さ夜更/やすらはで/さよ/寝な/寝なましものを/けて/やすらはで　ねなましものを　さよふけて/ねなま
60,26,106,おえ/いく野の道の/ちの/大江山/おおえ/おほえやま　いくののみちの　とほければ/とほ/大江/いくののみちの/とほけ/おお/おほえ/れば/いく/江山/いく野/道の/おほえやま/いくの/遠ければ/おほ/とほければ/遠け/やま/遠けれ/大江山　いく野の道の　遠ければ
61,21,91,ならのみやこの/やへざくら/ならの/なら/この/八重/奈良の都の/いに/奈良/やへざ/八重桜/奈良の/くら/への/やへ/いにしへの　ならのみやこの　やへざくら/都の/いにしへの　奈良の都の　八重桜/いにしへの/いにし/重桜
62,25,106,夜をこめて　鳥の空音は　謀るとも/鳥の空音は/はか/鳥の空/音は/よをこ/鳥の/夜をこ/はかる/夜をこめて/とりの/よをこめて　とりのそらねは　はかるとも/夜を/謀ると/とも/はかるとも/よお/とりのそらねは/謀る/めて/とり/ねは/よを/謀るとも/よをこめて
63,20,94,今はた/思ひ絶/なむ/おもひ/とばかりを/思ひ/おも/とば/いま/今はただ　思ひ絶えなむ　とばかりを/ただ/おもひたえなむ/いまは/りを/今は/いまはただ　おもひたえなむ　とばかりを/いまはただ/とばか/今はただ/思ひ絶えなむ
64,22,101,宇治/たえ/あさ/朝ぼら/えに/朝ぼ/うぢ/ぎり/らけ/あさぼ/朝ぼらけ　宇治の川霧　たえだえに/朝ぼらけ/あさぼらけ　うぢのかはぎり　たえだえに/宇治の川霧/川霧/うぢのかはぎり/あさぼらけ　う/たえだ/宇治の/うぢの/あさぼらけ/たえだえに
65,18,89,わび/うらみ/ほさ/のを/あるものを/恨みわび/ほさぬそでだに/あるも/恨み/ある/恨みわび　ほさぬ袖だに　あるものを/うらみわび　ほさぬそでだに　あるものを/うら/ほさぬ袖だに/ほさぬ/恨みわ/だに/うらみわび
66,17,82,もに/あはれ/あはれとおもへ/山桜/もへ/もろ/あはれと思へ/あは/やまざ/もろと/思へ/もろともに/やまざくら/もろともに　あはれとおもへ　やまざくら/やま/くら/もろともに　あはれと思へ　山桜
67,24,101,よの/春の夜/はるのよの/はる/枕に/手枕/たまくらに/夢ばか/はるの/春の夜の　夢ばかりなる　手枕に/夢ばかりなる/はるのよの　ゆめばかりなる　たまくらに/春の/ゆめばかりなる/らに/夢ば/夜の/たまく/ゆめば/ゆめ/手枕に/なる/春の夜の/たま
68,22,100,ながらへば/こころにも　あらでうきよに　ながらへば/長らへ/へば/心にも/あら/こころにも/ながら/長ら/なが/あらでうきよに/ここ/心にも　あらで憂き夜に　長らへば/にも/あらで/心に/長らへば/あらで憂き夜に/こころ/夜に/こころに/よに
69,23,98,嵐吹/三室/葉は/あら/みむ/もみぢ葉は/あらしふく　みむろのやまの　もみぢばは/ふく/吹く/みむろのやまの/三室の山の/嵐吹く　三室の山の　もみぢ葉は/嵐吹く/ばは/もみ/もみぢばは/もみぢ/あらし/あらしふく/三室の/山の/まの/みむろ
70,20,98,寂し/寂しさに/ながむ/宿を立/やどをたちいでて/寂しさに　宿を立ち出でて　ながむれば/でて/やど/寂しさ/ながむれば/なが/れば/さびしさに　やどをたちいでて　ながむれば/さびし/さに/宿を/やどを/宿を立ち出でて/さびしさに/さび
71,24,99,おとづ/れて/おとづれて/夕されば　門田の稲葉　訪れて/ゆふされば　かどたのいなば　おとづれて/ゆふされば/訪れ/夕さ/れば/おと/かど/ゆふさ/夕されば/ゆふ/なば/訪れて/門田/かどた/かどたのいなば/門田の/門田の稲葉/稲葉/ゆう/夕され
